Type1,Relation,Type2
system,can_expose,attack
system,can_expose,vulnerability
app,has_a,feature
tool,part_of,tool
tool,has_a,function
tool,can_analyze,function
tool,can_analyze,apps
tool,can_analyze,vulnerability
tool,implements,technique
tool,has_a,feature
function,can_expose,attack
function,has_a,feature
function,uses,tool
attack,implements,feature
feature,can_expose,attack
attacker,can_exploit,vulnerability
attacker,can_exploit,feature
securityTeam,can_analyze,vulnerability
securityTeam,can_analyze,feature
securityTeam,can_exploit,app
securityTeam,uses,technique
securityTeam,implements,function
securityTeam,uses,system
securityTeam,uses,tool
user,uses,system
user,can_expose,vulnerability
